Year,Cause Name,State,Deaths,Age-adjusted Death Rate,Population
2017,influenza and pneumonia,Georgia,1400,13.8,10429379
2017,influenza and pneumonia,Hawaii,637,29.6,1427538
2017,influenza and pneumonia,Idaho,255,13.7,1716943
2017,influenza and pneumonia,Illinois,2402,15.6,12802023
2017,influenza and pneumonia,Indiana,1078,13.8,6666818
2017,influenza and pneumonia,Iowa,578,13.2,3145711
2017,influenza and pneumonia,Kansas,546,15.0,2913123
2017,influenza and pneumonia,Kentucky,932,18.1,4454189
2017,influenza and pneumonia,Louisiana,785,15.1,4684333
2017,influenza and pneumonia,Maine,301,15.2,1335907
2017,influenza and pneumonia,Maryland,990,14.0,6052177
2017,influenza and pneumonia,Massachusetts,1433,15.9,6859819
2017,influenza and pneumonia,Michigan,1798,14.2,9962311
2017,influenza and pneumonia,Minnesota,697,9.9,5576606
2017,influenza and pneumonia,Mississippi,782,23.0,2984100
2017,influenza and pneumonia,Missouri,1281,16.7,6113532
2017,influenza and pneumonia,Montana,185,13.3,1050493
2017,influenza and pneumonia,Nebraska,393,16.2,1920076
2017,influenza and pneumonia,Nevada,636,19.6,2998039
2017,influenza and pneumonia,New Hampshire,230,13.1,1342795
2017,influenza and pneumonia,New Jersey,1337,11.7,9005644
2017,influenza and pneumonia,New Mexico,338,13.6,2088070
2017,influenza and pneumonia,New York,4517,17.7,19849399
2017,influenza and pneumonia,North Carolina,2076,17.5,10273419
2017,influenza and pneumonia,North Dakota,147,15.3,755393
2017,influenza and pneumonia,Ohio,2243,14.9,11658609
2017,influenza and pneumonia,Oklahoma,625,13.9,3930864
2017,influenza and pneumonia,Oregon,573,11.1,4142776
2017,influenza and pneumonia,Pennsylvania,2718,14.6,12805537
2017,influenza and pneumonia,Rhode Island,206,13.9,1059639
2017,influenza and pneumonia,South Carolina,723,12.3,5024369
2017,influenza and pneumonia,South Dakota,217,19.0,869666
2017,influenza and pneumonia,Tennessee,1656,21.3,6715984
2017,influenza and pneumonia,Texas,2954,11.2,28304596
2017,influenza and pneumonia,Utah,334,13.3,3101833
2017,influenza and pneumonia,Vermont,86,9.7,623657
2017,influenza and pneumonia,Virginia,1245,13.1,8470020
2017,influenza and pneumonia,Washington,1041,12.6,7405743
2017,influenza and pneumonia,West Virginia,458,18.2,1815857
2017,influenza and pneumonia,Wisconsin,974,12.9,5795483
2017,influenza and pneumonia,Wyoming,115,17.5,579315
2017,suicide,United States,47173,14.0,329791231
2017,suicide,Alabama,836,16.6,4874747
2017,suicide,Alaska,200,27.0,739795
2017,suicide,Arizona,1327,18.2,7016270
2017,suicide,Arkansas,631,20.8,3004279
2017,suicide,California,4312,10.5,39536653
2017,suicide,Colorado,1181,20.3,5607154
2017,suicide,Connecticut,405,10.5,3588184
2017,suicide,Delaware,112,11.6,961939
2017,suicide,District of Columbia,47,6.6,693972
2017,suicide,Florida,3227,14.0,20984400
2017,suicide,Georgia,1451,13.6,10429379
2017,suicide,Hawaii,227,15.2,1427538
2017,suicide,Idaho,392,23.2,1716943
2017,suicide,Illinois,1474,11.2,12802023
2017,suicide,Indiana,1092,16.3,6666818
2017,suicide,Iowa,479,15.0,3145711
2017,suicide,Kansas,553,19.1,2913123
2017,suicide,Kentucky,770,16.9,4454189
2017,suicide,Louisiana,720,15.2,4684333
2017,suicide,Maine,274,18.9,1335907
2017,suicide,Maryland,630,9.9,6052177
2017,suicide,Massachusetts,682,9.5,6859819
2017,suicide,Michigan,1457,14.1,9962311
2017,suicide,Minnesota,783,13.9,5576606
2017,suicide,Mississippi,445,15.0,2984100
2017,suicide,Missouri,1151,18.5,6113532
