State,Year,Spending
District of Columbia,2015,12500.0
Maryland,2015,9001.0
New Jersey,2015,9483.0
New York,2015,10305.0
Pennsylvania,2015,9562.0
Great Lakes,2015,8481.0
Illinois,2015,8300.0
Indiana,2015,8368.0
Michigan,2015,8372.0
Ohio,2015,8754.0
Wisconsin,2015,8654.0
Plains,2015,8547.0
Iowa,2015,8358.0
Kansas,2015,7634.0
Minnesota,2015,9163.0
Missouri,2015,8261.0
Nebraska,2015,8579.0
North Dakota,2015,9357.0
South Dakota,2015,9627.0
Southeast,2015,7870.0
Alabama,2015,7657.0
Arkansas,2015,7620.0
Florida,2015,8330.0
Georgia,2015,7055.0
Kentucky,2015,8306.0
Louisiana,2015,8201.0
Mississippi,2015,7777.0
North Carolina,2015,7594.0
South Carolina,2015,7446.0
Tennessee,2015,7806.0
Virginia,2015,7750.0
West Virginia,2015,9947.0
Southwest,2015,7238.0
Arizona,2015,6885.0
New Mexico,2015,7418.0
Oklahoma,2015,7902.0
Texas,2015,7217.0
Rocky Mountains,2015,6988.0
Colorado,2015,7075.0
Idaho,2015,6843.0
Montana,2015,8344.0
Utah,2015,6112.0
Wyoming,2015,8652.0
Far West,2015,8005.0
Alaska,2015,11460.0
California,2015,7998.0
Hawaii,2015,7747.0
Nevada,2015,6987.0
Oregon,2015,8438.0
Washington,2015,7904.0
United States,2016,8652.0
New England,2016,10940.0
Connecticut,2016,10705.0
Maine,2016,10018.0
Massachusetts,2016,11490.0
New Hampshire,2016,10157.0
Rhode Island,2016,10159.0
Vermont,2016,11246.0
Mideast,2016,10338.0
Delaware,2016,10933.0
District of Columbia,2016,12851.0
Maryland,2016,9321.0
New Jersey,2016,9979.0
New York,2016,10927.0
Pennsylvania,2016,9980.0
Great Lakes,2016,8797.0
Illinois,2016,8630.0
Indiana,2016,8776.0
Michigan,2016,8707.0
Ohio,2016,9062.0
Wisconsin,2016,8809.0
Plains,2016,8852.0
Iowa,2016,8464.0
Kansas,2016,7845.0
Minnesota,2016,9540.0
