State,Year,Spending
Massachusetts,2009,61012.0
New Hampshire,2009,10698.0
Rhode Island,2009,8790.0
Vermont,2009,5289.0
Mideast,2009,385989.0
Delaware,2009,7477.0
District of Columbia,2009,6338.0
Maryland,2009,43079.0
New Jersey,2009,67907.0
New York,2009,164219.0
Pennsylvania,2009,96969.0
Great Lakes,2009,324367.0
Illinois,2009,87777.0
Indiana,2009,43345.0
Michigan,2009,67565.0
Ohio,2009,83497.0
Wisconsin,2009,42183.0
Plains,2009,144328.0
Iowa,2009,20895.0
Kansas,2009,19056.0
Minnesota,2009,39780.0
Missouri,2009,40645.0
Nebraska,2009,12877.0
North Dakota,2009,5125.0
South Dakota,2009,5950.0
Southeast,2009,509574.0
Alabama,2009,30078.0
Arkansas,2009,18027.0
Florida,2009,132765.0
Georgia,2009,53178.0
Kentucky,2009,28821.0
Louisiana,2009,31123.0
Mississippi,2009,19383.0
North Carolina,2009,60983.0
South Carolina,2009,29089.0
Tennessee,2009,40971.0
Virginia,2009,50839.0
West Virginia,2009,14316.0
Southwest,2009,222392.0
Arizona,2009,37282.0
New Mexico,2009,12758.0
Oklahoma,2009,24216.0
Texas,2009,148136.0
Rocky Mountains,2009,62253.0
Colorado,2009,29138.0
Idaho,2009,8810.0
Montana,2009,6530.0
Utah,2009,13888.0
Wyoming,2009,3887.0
Far West,2009,329586.0
Alaska,2009,5975.0
California,2009,229415.0
Hawaii,2009,8767.0
Nevada,2009,15290.0
Oregon,2009,24764.0
Washington,2009,45374.0
United States,2010,2181261.0
New England,2010,130858.0
Connecticut,2010,31608.0
Maine,2010,11076.0
Massachusetts,2010,62599.0
New Hampshire,2010,11120.0
Rhode Island,2010,8916.0
Vermont,2010,5539.0
Mideast,2010,400739.0
Delaware,2010,7919.0
District of Columbia,2010,6726.0
Maryland,2010,44829.0
New Jersey,2010,68770.0
New York,2010,169932.0
Pennsylvania,2010,102564.0
Great Lakes,2010,335104.0
Illinois,2010,91925.0
Indiana,2010,44522.0
Michigan,2010,70023.0
Ohio,2010,85358.0
Wisconsin,2010,43276.0
Plains,2010,149731.0
Iowa,2010,21647.0
Kansas,2010,19446.0
Minnesota,2010,41429.0
Missouri,2010,41915.0
Nebraska,2010,13550.0
North Dakota,2010,5406.0
South Dakota,2010,6339.0
Southeast,2010,524093.0
Alabama,2010,30655.0
Arkansas,2010,18636.0
Florida,2010,136984.0
Georgia,2010,53917.0
Kentucky,2010,29836.0
Louisiana,2010,32660.0
Mississippi,2010,19471.0
North Carolina,2010,62408.0
South Carolina,2010,30164.0
Tennessee,2010,42134.0
Virginia,2010,52541.0
West Virginia,2010,14687.0
Southwest,2010,231166.0
Arizona,2010,38573.0
New Mexico,2010,13276.0
Oklahoma,2010,25057.0
Texas,2010,154260.0
Rocky Mountains,2010,64413.0
Colorado,2010,29941.0
Idaho,2010,9282.0
Montana,2010,6855.0
Utah,2010,14245.0
Wyoming,2010,4090.0
Far West,2010,345157.0
Alaska,2010,6373.0
California,2010,241845.0
Hawaii,2010,8785.0
Nevada,2010,15643.0
Oregon,2010,25903.0
Washington,2010,46608.0
United States,2011,2254675.0
New England,2011,134084.0
Connecticut,2011,31975.0
Maine,2011,11404.0
Massachusetts,2011,64287.0
New Hampshire,2011,11511.0
Rhode Island,2011,9132.0
Vermont,2011,5776.0
Mideast,2011,414205.0
Delaware,2011,8352.0
District of Columbia,2011,7157.0
Maryland,2011,46300.0
New Jersey,2011,70362.0
New York,2011,175327.0
Pennsylvania,2011,106707.0
